"item_id","name","discount_price","percentage_discount","regular_price","date_added","url"
"693455","-19% na produkty Logitech + Adobe CC gratis na 30 dni dla wybranych produktów","NA","NA","NA","03-07-2023","https://www.pepper.pl/kupony/19-na-produkty-logitech-adobe-cc-za-darmo-na-30-dni-dla-wybranych-produktow-693455"
"693484","Gra planszowa Rebel Wsiąść do Pociągu: Europa | Allegro Days@","118.0","-18.0","144.0","03-07-2023","https://www.pepper.pl/promocje/gra-planszowa-rebel-wsiasc-do-pociagu-europa-allegro-days-693484"
"693438","Lidl Piwo Carlsberg 2,69zł za puszkę w 8-paku.","2.69","NA","NA","03-07-2023","https://www.pepper.pl/promocje/lidl-piwo-carlsberg-269zl-za-puszke-w-8-paku-693438"
"693482","Wielofunkcyjny robot kuchenny z Wi-Fi Monsieur Cuisine Connect, 1100 W","1599.0","-16.0","1899.0","03-07-2023","https://www.pepper.pl/promocje/wielofunkcyjny-robot-kuchenny-z-wi-fi-monsieur-cuisine-connect-1100-w-693482"
"693433","Słuchawki dokanałowe TCL SOCL300 Pomarańczowe","9.99","-67.0","29.99","03-07-2023","https://www.pepper.pl/promocje/sluchawki-dokanalowe-tcl-socl300-pomaranczowe-693433"
"693481","WOTOW Pokrowiec na meble ogrodowe, wytrzymały, wodoszczelny, wentylowany, wiatroszczelny, na UV 420D, 2,42 x 1,62 x 1 m","NA","-33.0","166.92","03-07-2023","https://www.pepper.pl/promocje/wotow-pokrowiec-na-meble-ogrodowe-wytrzymaly-wodoszczelny-wentylowany-wiatroszczelny-na-uv-420d-242-x-162-x-1-m-693481"
"693427","Licznik rowerowy GPS komputer rowerowy BSC100S","83.42","NA","NA","03-07-2023","https://www.pepper.pl/promocje/licznik-rowerowy-gps-komputer-rowerowy-bsc100s-693427"
"693478","Wkrętak krzyżowy Wera PZ2x100 VDE 165i izolowany 05006164001","35.27","-47.0","66.0","03-07-2023","https://www.pepper.pl/promocje/wkretak-krzyzowy-wera-pz2x100-vde-165i-izolowany-05006164001-693478"
"693476","Laptop Ultrabook Realme Prime 14'","2849.0","NA","NA","03-07-2023","https://www.pepper.pl/promocje/ultrabook-realme-prime-14-693476"
"693475","Wózek narzędziowy / szafkawarsztatowa TARGED","999.0","-44.0","1799.0","03-07-2023","https://www.pepper.pl/promocje/wozek-narzedziowy-szafkawarsztatowa-targed-693475"
"693473","+10 Monet przy zakupach za min. 120zł w kategorii Moda @ Allegro","NA","NA","NA","03-07-2023","https://www.pepper.pl/promocje/10-monet-przy-zakupach-na-allegro-days-w-modzie-693473"
"693469","Narożnik/ Łóżko BRW Malin","1399.0","NA","NA","03-07-2023","https://www.pepper.pl/promocje/naroznik-brw-malin-tani-naroznik-693469"
"693468","książka w Legimi od Onet Premium","NA","NA","NA","03-07-2023","https://www.pepper.pl/promocje/ksiazka-w-legimi-od-onet-premium-693468"
"693467","Smartfon Motorola Moto G32 4 GB/64 GB Mineral Grey","449.0","-15.0","529.0","03-07-2023","https://www.pepper.pl/promocje/smartfon-motorola-moto-g32-4-gb64-gb-mineral-grey-693467"
"693466","Żarówka LED Philips 75W E27 A60 (ciepła biel) (w odpowiedziach piszą, że to 2 sztuki)","11.99","NA","NA","03-07-2023","https://www.pepper.pl/promocje/zarowka-led-philips-75w-e27-a60-ciepla-biel-w-odpowiedziach-pisza-ze-to-2-sztuki-693466"
"693465","LENCENT-8 w 1 Listwa Zasilająca Pleciony kabel 3m","78.96","-5.0","83.12","03-07-2023","https://www.pepper.pl/promocje/lencent-8-w-1-listwa-zasilajaca-pleciony-kabel3m-693465"
"693463","Wyrzynarka Einhell TC-JS 80","NA","-39.0","164.99","03-07-2023","https://www.pepper.pl/promocje/wyrzynarka-einhell-tc-js-80-693463"
"693461","Laptop Lenovo IdeaPad Gaming 3-15 Ryzen 5 5600H/16/512 GTX1650 120Hz + zwrot 500zł","2699.0","NA","NA","03-07-2023","https://www.pepper.pl/promocje/laptop-lenovo-ideapad-gaming-3-15-ryzen-516512-gtx1650-120hz-693461"
"693460","Bezpłatne ZOO na Dolnym Śląsku - tylko godzinę drogi od Wrocławia","NA","NA","NA","03-07-2023","https://www.pepper.pl/promocje/bezplatne-zoo-na-dolnym-slasku-tylko-godzine-drogi-od-wroclawia-693460"
"693459","Dysk SSD Goodram CX400 1TB @Allegro Days","159.99","-4.0","166.0","03-07-2023","https://www.pepper.pl/promocje/dysk-ssd-goodram-cx400-1tb-at-allegro-day-693459"
"693458","Siewnik akumulator Ryobi 4 l 350 cm aku 5ah","NA","-45.0","729.0","03-07-2023","https://www.pepper.pl/promocje/siewnik-akumulator-ryobi-4-l-350-cm-aku-5ah-693458"
"693457","Casio zegarek GA-110SKE-8AER - Produkt męski","299.0","-33.0","446.0","03-07-2023","https://www.pepper.pl/promocje/casio-zegarek-ga-110ske-8aer-produkt-meski-693457"
"693456","Wkrętarka Ryobi akumulator 18 V R18PD2-113S","NA","NA","NA","03-07-2023","https://www.pepper.pl/promocje/wkretarka-ryobi-akumulator-18-v-r18pd2-113s-693456"
"693454","GRAPHITE PODKASZARKA AKUMULATOROWA18V ŻYŁKOWA280MM","129.0","-46.0","241.0","03-07-2023","https://www.pepper.pl/promocje/graphite-podkaszarka-akumulatorowa18v-zylkowa280mm-693454"
"693453","Salvatore Ferragamo Spicy Leather 100 ml woda perfumowana EDP | Notino (Możliwe 159,20 zł czytaj opis!)","168.4","-20.0","211.18","03-07-2023","https://www.pepper.pl/promocje/salvatore-ferragamo-spicy-leather-100-ml-woda-perfumowana-edp-notino-693453"
"693451","ZESTAW 216 el. KLUCZY KLUCZE NASADOWE NEO 10-216","NA","NA","NA","03-07-2023","https://www.pepper.pl/promocje/zestaw-216-el-kluczy-klucze-nasadowe-neo-10-216-693451"
"693450","Aż do -30% zniżki w Notino","NA","NA","NA","03-07-2023","https://www.pepper.pl/kupony/az-do-30-znizki-w-notino-693450"
"693449","Allegro Days: Szlifierka kątowa Ryobi R18AG + 4Ah","399.0","NA","NA","03-07-2023","https://www.pepper.pl/promocje/allegro-days-szlifierka-katowa-ryobi-r18ag-4ah-693449"
"692708","Laptop LG GRAM 16 2022 (16"" IPS 2560 x 1600, Intel i7, 16GB RAM, 512GB SSD, Windows 11) @ Media Markt","NA","-51.0","6079.0","03-07-2023","https://www.pepper.pl/promocje/laptop-lg-gram-16-2022-16-ips-2560-x-1600-intel-i7-16gb-ram-512gb-ssd-windows-11-at-media-markt-692708"
"693448","Allegro Days: 4x Opony letnie Nexen N'Blue S 91V 205/55R16","925.0","-9.0","1015.0","03-07-2023","https://www.pepper.pl/promocje/allegro-days-4x-opony-letnie-nexen-nblue-s-91v-20555r16-693448"
"693447","Power bank bezprzewodowy Baseus MagSafe 10000mah","89.0","-40.0","149.0","03-07-2023","https://www.pepper.pl/promocje/power-bank-bezprzewodowy-basues-magsafe-10000mah-693447"
"693446","Opony Całoroczne 4× Goodride All Season Elite Z-401 225/45R17 94 W wzmocnienie (XL) | Allegro Days","NA","NA","NA","03-07-2023","https://www.pepper.pl/promocje/4-goodride-all-season-elite-z-401-22545r17-94-w-wzmocnienie-xl-allegro-days-693446"
"693445","Allegro Days: Podkaszarka akumulatorowa Ryobi RLT1825M15S + 1,5Ah","169.0","-49.0","330.0","03-07-2023","https://www.pepper.pl/promocje/allegro-days-podkaszarka-akumulatorowa-ryobi-rlt1825m15s-15ah-693445"
"693441","Allegro Days: Klucz udarowy Ryobi R18IW3","NA","-42.0","412.0","03-07-2023","https://www.pepper.pl/promocje/allegro-days-klucz-udarowy-ryobi-r18iw3-693441"
